Ticker,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
MMM,MMM,Industrial Conglomerates,70400581632,141.34,75.652176,108.496088,127.13
AOS,AOS,Building Products,9964057600,92.45,68.07,80.25999999999999,68.44
ABT,ABT,Health Care Equipment,198127370240,121.64,99.71,110.675,112.42
ABBV,ABBV,Biotechnology,310274424832,207.32,153.58,180.45,171.52
ACN,ACN,IT Consulting & Other Services,229157109760,387.51,278.69,333.1,372.16
ADBE,ADBE,Application Software,196844240896,638.25,432.47,535.36,437.39
AMD,AMD,Semiconductors,193455177728,227.3,117.9,172.60000000000002,118.88
AES,AES,Independent Power Producers & Energy Traders,9243351040,22.21,12.24,17.225,12.44
AFL,AFL,Life & Health Insurance,57047171072,115.5,75.08,95.28999999999999,101.25
A,A,Life Sciences Tools & Services,38415384576,155.35,124.16,139.755,133.19
APD,APD,Industrial Gases,65599582208,337.0,212.24,274.62,293.17
ABNB,ABNB,"Hotels, Resorts & Cruise Lines",83850649600,170.1,110.38,140.24,129.35
AKAM,AKAM,Internet Services & Infrastructure,14405267456,129.17,84.7,106.935,94.58
ALB,ALB,Specialty Chemicals,10419920896,153.21,71.97,112.59,88.92
ARE,ARE,Office REITs,17331146752,131.36,97.21,114.285,97.29
ALGN,ALGN,Health Care Supplies,15756283904,335.4,196.09,265.745,213.58
ALLE,ALLE,Building Products,11490313216,156.1,113.27,134.685,130.63
LNT,LNT,Electric Utilities,15126511616,64.19,46.8,55.495,58.26
ALL,ALL,Property & Casualty Insurance,51255271424,209.88,137.07,173.475,189.79
GOOGL,GOOGL,Interactive Media & Services,2351625142272,201.42,130.67,166.045,188.51
GOOG,GOOG,Interactive Media & Services,2351623045120,202.88,131.55,167.215,189.7
MO,MO,Tobacco,91248566272,58.04,39.25,48.644999999999996,52.99
AMZN,AMZN,Broadline Retail,2365033807872,233.0,144.05,188.525,223.29
AMCR,AMCR,Paper & Plastic Packaging Products & Materials,13586195456,11.48,8.78,10.129999999999999,9.4
AMTM,AMTM,Diversified Support Services,4664099328,34.5,18.3796,26.439799999999998,18.93
AEE,AEE,Multi-Utilities,23834001408,95.69,67.03,81.36,88.57
AEP,AEP,Electric Utilities,49395404800,105.18,75.22,90.2,91.24
AXP,AXP,Consumer Finance,210382487552,307.82,177.81,242.815,293.08
AIG,AIG,Multi-line Insurance,45341773824,80.83,66.06,73.445,71.09
AMT,AMT,Telecom Tower REITs,85855002624,243.56,170.46,207.01,179.4
AWK,AWK,Water Utilities,24541052928,150.68,113.34,132.01,123.83
AMP,AMP,Asset Management & Custody Banks,51623407616,577.0,368.41,472.70500000000004,525.76
AME,AME,Electrical Components & Equipment,42412634112,198.33,149.03,173.68,182.11
AMGN,AMGN,Biotechnology,141575438336,346.85,253.3,300.07500000000005,261.19
APH,APH,Electronic Components,85091958784,75.78,46.945,61.3625,70.01
ADI,ADI,Semiconductors,105105776640,244.14,181.81,212.975,207.78
ANSS,ANSS,Application Software,29591330816,364.31,289.82,327.065,334.48
AON,AON,Insurance Brokers,77524877312,395.33,268.06,331.695,353.75
APA,APA,Oil & Gas Exploration & Production,7783685632,37.82,20.32,29.07,20.48
AAPL,AAPL,"Technology Hardware, Storage & Peripherals",3846819807232,255.0,164.08,209.54000000000002,249.79
AMAT,AMAT,Semiconductor Materials & Equipment,133110726656,255.89,148.05,201.97,161.44
APTV,APTV,Automotive Parts & Equipment,13834219520,91.66,51.47,71.565,57.01
ACGL,ACGL,Property & Casualty Insurance,34234257408,116.47,73.04,94.755,88.99
ADM,ADM,Agricultural Products & Services,24161183744,74.02,48.92,61.47,49.38
ANET,ANET,Communications Equipment,142113521664,116.94,56.65,86.795,109.07
AJG,AJG,Insurance Brokers,70719234048,316.72,221.15,268.935,279.09
AIZ,AIZ,Multi-line Insurance,10886776832,230.55,160.12,195.335,208.44
T,T,Integrated Telecommunication Services,163237838848,24.03,15.94,19.985,22.57
ATO,ATO,Gas Utilities,21710899200,152.65,110.46,131.555,137.97
ADSK,ADSK,Application Software,64247537664,326.62,195.32,260.97,293.63
ADP,ADP,Human Resource & Employment Services,119800504320,309.63,230.38,270.005,291.33
AZO,AZO,Automotive Retail,54690828288,3416.71,2510.0,2963.355,3215.29
AVB,AVB,Multi-Family Residential REITs,31600791552,239.29,169.37,204.32999999999998,217.16
AVY,AVY,Paper & Plastic Packaging Products & Materials,15115568128,233.48,185.73,209.605,186.26
AXON,AXON,Aerospace & Defense,48169394176,698.67,241.72,470.195,615.68
BKR,BKR,Oil & Gas Equipment & Services,39897690112,45.17,28.32,36.745000000000005,39.8
BALL,BALL,"Metal, Glass & Plastic Containers",16652169216,71.32,54.06,62.69,55.36
BAC,BAC,Diversified Banks,338911100928,48.08,31.27,39.675,43.38
BAX,BAX,Health Care Equipment,15062345728,44.01,28.62,36.315,28.9
BDX,BDX,Health Care Equipment,66029019136,249.89,218.75,234.32,223.83
BRK.B,BRK.B,Multi-Sector Holdings,N/A,N/A,N/A,N/A,N/A
BBY,BBY,Computer & Electronics Retail,18290247680,103.71,69.29,86.5,85.2
TECH,TECH,Life Sciences Tools & Services,11626127360,85.57,61.16,73.365,71.39
BIIB,BIIB,Biotechnology,21343463424,268.3,145.07,206.685,147.39
BLK,BLK,Asset Management & Custody Banks,159322472448,1082.45,745.55,914.0,1016.33
BX,BX,Asset Management & Custody Banks,207208415232,200.96,114.88,157.92000000000002,168.91
BK,BK,Asset Management & Custody Banks,56435798016,82.72,51.35,67.035,76.41
BA,BA,Aerospace & Defense,132689018880,264.66,137.03,200.84500000000003,177.04
BKNG,BKNG,"Hotels, Resorts & Cruise Lines",167091666944,5337.24,3180.0,4258.62,4980.4
BWA,BWA,Automotive Parts & Equipment,6972155904,38.23,29.51,33.87,31.48
BSX,BSX,Health Care Equipment,131097174016,91.93,55.69,73.81,88.66
