Symbol,Stock Price,Predicted Short Position for Next Month,Difference,Company Name,Sector,Market Capital,Financial Results,Next Financial Statement
CSCO,49.61,45.91,3.7,"Cisco Systems, Inc.",Technology,198738345984.0,USD,N/A
UAL,49.65,41.18,8.47,"United Airlines Holdings, Inc.",Industrials,16514042880.0,USD,N/A
TROW,104.87,102.49,2.38,"T. Rowe Price Group, Inc.",Financial Services,23274846208.0,USD,N/A
ISRG,494.01,471.73,22.28,"Intuitive Surgical, Inc.",Healthcare,174073692160.0,USD,N/A
NVR,9179.38,8641.76,537.62,"NVR, Inc.",Consumer Cyclical,28835725312.0,USD,N/A
TPR,42.04,38.38,3.66,"Tapestry, Inc.",Consumer Cyclical,9844249600.0,USD,N/A
DVN,40.01,40.48,-0.47,Devon Energy Corporation,Energy,24703590400.0,USD,N/A
CE,119.88,120.42,-0.54,Celanese Corporation,Basic Materials,13454769152.0,USD,N/A
MRO,25.98,26.18,-0.2,Marathon Oil Corporation,Energy,14616676352.0,USD,N/A
BA,162.77,159.85,2.92,The Boeing Company,Industrials,96605282304.0,USD,N/A
VRTX,478.65,470.42,8.23,Vertex Pharmaceuticals Incorporated,Healthcare,125274963968.0,USD,N/A
GILD,83.16,74.71,8.45,"Gilead Sciences, Inc.",Healthcare,103097614336.0,USD,N/A
EQIX,868.81,819.76,49.05,"Equinix, Inc.",Real Estate,82748366848.0,USD,N/A
TER,128.19,123.05,5.14,"Teradyne, Inc.",Technology,21413584896.0,USD,N/A
PODD,230.45,185.67,44.78,Insulet Corporation,Healthcare,16397913088.0,USD,N/A
MDT,90.0,82.63,7.37,Medtronic plc,Healthcare,115433996288.0,USD,N/A
V,285.37,262.69,22.68,Visa Inc.,Financial Services,559148630016.0,USD,N/A
QRVO,105.61,105.51,0.1,"Qorvo, Inc.",Technology,10211818496.0,USD,N/A
A,136.39,136.8,-0.41,"Agilent Technologies, Inc.",Healthcare,39453007872.0,USD,N/A
FOX,36.04,36.26,-0.22,Fox Corporation,Communication Services,17574144000.0,USD,N/A
MO,52.64,51.11,1.53,"Altria Group, Inc.",Consumer Defensive,90361413632.0,USD,N/A
CTRA,22.78,22.81,-0.03,Coterra Energy Inc.,Energy,16840662016.0,USD,N/A
SWKS,100.44,99.87,0.57,"Skyworks Solutions, Inc.",Technology,16366098432.0,USD,N/A
ENPH,105.83,105.1,0.73,"Enphase Energy, Inc.",Technology,14884232192.0,USD,N/A
MCHP,76.08,74.96,1.12,Microchip Technology Incorporated,Technology,41643520000.0,USD,N/A
CDNS,269.9,251.36,18.54,"Cadence Design Systems, Inc.",Technology,73580912640.0,USD,N/A
MSCI,559.75,550.22,9.53,MSCI Inc.,Financial Services,44167868416.0,USD,N/A
CHTR,339.03,327.07,11.96,"Charter Communications, Inc.",Communication Services,48556204032.0,USD,N/A
EIX,84.63,83.42,1.21,Edison International,Utilities,32987238400.0,USD,N/A
KDP,37.05,35.36,1.69,Keurig Dr Pepper Inc.,Consumer Defensive,51002544128.0,USD,N/A
BBY,97.75,84.74,13.01,"Best Buy Co., Inc.",Consumer Cyclical,21139675136.0,USD,N/A
GEN,26.25,25.04,1.21,Gen Digital Inc.,Technology,16305256448.0,USD,N/A
