Symbol,Stock Price,Predicted Short Position for Next Month,Difference,Company Name,Sector,Market Capital,Financial Results,Next Financial Statement
CSCO,49.61,45.93,3.68,"Cisco Systems, Inc.",Technology,198738345984.0,USD,N/A
ISRG,494.01,471.99,22.02,"Intuitive Surgical, Inc.",Healthcare,174073692160.0,USD,N/A
PDD,97.33,95.36,1.97,PDD Holdings Inc.,Consumer Cyclical,131919265792.0,CNY,N/A
VRTX,478.65,470.45,8.2,Vertex Pharmaceuticals Incorporated,Healthcare,125274963968.0,USD,N/A
GILD,83.16,74.62,8.54,"Gilead Sciences, Inc.",Healthcare,103097614336.0,USD,N/A
MDB,295.18,241.19,53.99,"MongoDB, Inc.",Technology,21428803584.0,USD,N/A
MCHP,76.08,74.96,1.12,Microchip Technology Incorporated,Technology,41643520000.0,USD,N/A
CDNS,269.9,251.21,18.69,"Cadence Design Systems, Inc.",Technology,73580912640.0,USD,N/A
CCEP,80.63,75.72,4.91,Coca-Cola Europacific Partners PLC,Consumer Defensive,37538816000.0,EUR,N/A
CHTR,339.03,327.22,11.81,"Charter Communications, Inc.",Communication Services,48556204032.0,USD,N/A
KDP,37.05,35.36,1.69,Keurig Dr Pepper Inc.,Consumer Defensive,51002544128.0,USD,N/A
ZS,166.71,160.39,6.32,"Zscaler, Inc.",Technology,25932449792.0,USD,N/A
WBD,7.66,7.06,0.6,"Warner Bros. Discovery, Inc.",Communication Services,20816713728.0,USD,N/A
ADI,221.53,215.76,5.77,"Analog Devices, Inc.",Technology,111919448064.0,USD,N/A
ADBE,586.55,540.98,45.57,Adobe Inc.,Technology,238048149504.0,USD,N/A
SMCI,442.13,410.82,31.31,"Super Micro Computer, Inc.",Technology,26769690624.0,USD,N/A
CPRT,49.47,49.8,-0.33,"Copart, Inc.",Industrials,48336228352.0,USD,N/A
PEP,177.25,172.81,4.44,"PepsiCo, Inc.",Consumer Defensive,243616382976.0,USD,N/A
COST,915.03,867.98,47.05,Costco Wholesale Corporation,Consumer Defensive,406094872576.0,USD,N/A
MDLZ,74.38,70.68,3.7,"Mondelez International, Inc.",Consumer Defensive,100532314112.0,USD,N/A
BKNG,3870.7,3600.68,270.02,Booking Holdings Inc.,Consumer Cyclical,131837722624.0,USD,N/A
GFS,39.89,40.58,-0.69,GlobalFoundries Inc.,Technology,21933135872.0,USD,N/A
XEL,63.89,59.4,4.49,Xcel Energy Inc.,Utilities,35590864896.0,USD,N/A
WDAY,251.19,221.49,29.7,"Workday, Inc.",Technology,66263248896.0,USD,N/A
FAST,69.82,65.66,4.16,Fastenal Company,Industrials,39982145536.0,USD,N/A
KHC,35.2,34.38,0.82,The Kraft Heinz Company,Consumer Defensive,43031158784.0,USD,N/A
ABNB,117.36,114.78,2.58,"Airbnb, Inc.",Consumer Cyclical,74467803136.0,USD,N/A
SBUX,99.28,91.96,7.32,Starbucks Corporation,Consumer Cyclical,111699525632.0,USD,N/A
INTU,646.37,620.5,25.87,Intuit Inc.,Technology,183678156800.0,USD,N/A
ODFL,191.26,186.74,4.52,"Old Dominion Freight Line, Inc.",Industrials,41275744256.0,USD,N/A
MNST,49.91,46.78,3.13,Monster Beverage Corporation,Consumer Defensive,49786970112.0,USD,N/A
AMZN,187.0,171.97,15.03,"Amazon.com, Inc.",Consumer Cyclical,1957324390400.0,USD,N/A
GEHC,87.46,83.87,3.59,GE HealthCare Technologies Inc.,Healthcare,39688499200.0,USD,N/A
INTC,19.36,19.2,0.16,Intel Corporation,Technology,84066156544.0,USD,N/A
CSGP,77.97,73.82,4.15,"CoStar Group, Inc.",Real Estate,32322267136.0,USD,N/A
DXCM,68.82,69.39,-0.57,"DexCom, Inc.",Healthcare,27854534656.0,USD,N/A
TXN,195.98,197.64,-1.66,Texas Instruments Incorporated,Technology,182545285120.0,USD,N/A
VRSK,269.37,266.54,2.83,"Verisk Analytics, Inc.",Industrials,38282149888.0,USD,N/A
MELI,2140.1,1921.0,219.1,"MercadoLibre, Inc.",Consumer Cyclical,107598643200.0,USD,N/A
FTNT,74.49,72.06,2.43,"Fortinet, Inc.",Technology,57375752192.0,USD,N/A
ADSK,259.47,246.24,13.23,"Autodesk, Inc.",Technology,56885751808.0,USD,N/A
PCAR,95.07,92.96,2.11,PACCAR Inc,Industrials,49863999488.0,USD,N/A
PYPL,70.36,65.92,4.44,"PayPal Holdings, Inc.",Financial Services,71665328128.0,USD,N/A
MSFT,427.0,404.23,22.77,Microsoft Corporation,Technology,3200592642048.0,USD,N/A
ANSS,319.13,307.64,11.49,"ANSYS, Inc.",Technology,27833507840.0,USD,N/A
CTAS,206.02,191.56,14.46,Cintas Corporation,Industrials,83747102720.0,USD,N/A
AMAT,183.21,178.5,4.71,"Applied Materials, Inc.",Technology,155375419392.0,USD,N/A
EA,144.75,144.53,0.22,Electronic Arts Inc.,Communication Services,38528286720.0,USD,N/A
AMD,150.77,136.7,14.07,"Advanced Micro Devices, Inc.",Technology,246510682112.0,USD,N/A
KLAC,733.28,716.11,17.17,KLA Corporation,Technology,101020385280.0,USD,N/A
NXPI,225.14,228.44,-3.3,NXP Semiconductors N.V.,Technology,58570756096.0,USD,N/A
BIIB,197.89,198.78,-0.89,Biogen Inc.,Healthcare,28495857664.0,USD,N/A
NVDA,119.14,105.48,13.66,NVIDIA Corporation,Technology,2921523052544.0,USD,N/A
ROP,551.31,528.37,22.94,"Roper Technologies, Inc.",Technology,59156697088.0,USD,N/A
IDXX,497.04,471.86,25.18,"IDEXX Laboratories, Inc.",Healthcare,41198219264.0,USD,N/A
EXC,39.86,37.31,2.55,Exelon Corporation,Utilities,40250114048.0,USD,N/A
AZN,78.96,79.88,-0.92,AstraZeneca PLC,Healthcare,243562135552.0,USD,N/A
MRVL,74.3,65.03,9.27,"Marvell Technology, Inc.",Technology,64514580480.0,USD,N/A
CMCSA,39.31,38.82,0.49,Comcast Corporation,Communication Services,153157369856.0,USD,N/A
BKR,33.29,33.18,0.11,Baker Hughes Company,Energy,33414029312.0,USD,N/A
FANG,170.86,171.17,-0.31,"Diamondback Energy, Inc.",Energy,50983563264.0,USD,N/A
MAR,230.7,218.26,12.44,"Marriott International, Inc.",Consumer Cyclical,65240141824.0,USD,N/A
LIN,467.34,452.22,15.12,Linde plc,Basic Materials,223858180096.0,USD,N/A
LULU,260.14,243.68,16.46,Lululemon Athletica Inc.,Consumer Cyclical,32751992832.0,USD,N/A
TTD,104.5,98.99,5.51,"The Trade Desk, Inc.",Technology,52136759296.0,USD,N/A
PANW,345.16,336.64,8.52,"Palo Alto Networks, Inc.",Technology,112950640640.0,USD,N/A
NFLX,686.8,653.35,33.45,"Netflix, Inc.",Communication Services,299153752064.0,USD,N/A
MRNA,69.68,72.24,-2.56,"Moderna, Inc.",Healthcare,26246557696.0,USD,N/A
TSLA,229.81,204.26,25.55,"Tesla, Inc.",Consumer Cyclical,735693570048.0,USD,N/A
GOOGL,154.69,150.42,4.27,Alphabet Inc.,Communication Services,1943418568704.0,USD,N/A
PAYX,134.19,126.01,8.18,"Paychex, Inc.",Technology,48597549056.0,USD,N/A
ILMN,126.25,121.41,4.84,"Illumina, Inc.",Healthcare,20578373632.0,USD,N/A
META,525.6,503.94,21.66,"Meta Platforms, Inc.",Communication Services,1327194046464.0,USD,N/A
CRWD,257.1,249.54,7.56,"CrowdStrike Holdings, Inc.",Technology,63519502336.0,USD,N/A
ORLY,1119.93,1115.24,4.69,"O'Reilly Automotive, Inc.",Consumer Cyclical,65284255744.0,USD,N/A
SNPS,488.95,474.17,14.78,"Synopsys, Inc.",Technology,75281612800.0,USD,N/A
GOOG,155.54,151.53,4.01,Alphabet Inc.,Communication Services,1943421583360.0,USD,N/A
AVGO,164.56,140.07,24.49,Broadcom Inc.,Technology,783209594880.0,USD,N/A
REGN,1164.46,1138.95,25.51,"Regeneron Pharmaceuticals, Inc.",Healthcare,127139536896.0,USD,N/A
