Symbol,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
ADBE,Adobe Inc.,Information Technology,233508306944,638.25,433.97,536.11,526.44
AMD,Advanced Micro Devices,Information Technology,253705699328,227.3,93.12,160.21,156.74
ABNB,Airbnb,Consumer Discretionary,81430896640,170.1,110.38,140.24,128.75
GOOGL,Alphabet Inc. (Class A),Communication Services,2002701385728,191.75,120.21,155.98,162.14
GOOG,Alphabet Inc. (Class C),Communication Services,2002088361984,193.31,121.46,157.385,163.24
AMZN,Amazon,Consumer Discretionary,2010956955648,201.2,118.35,159.77499999999998,189.87
AEP,American Electric Power,Utilities,54356058112,105.18,69.38,87.28,101.74
AMGN,Amgen,Health Care,181284061184,346.85,249.7,298.275,335.95
ADI,Analog Devices,Information Technology,115936288768,244.14,154.99,199.565,233.45
ANSS,Ansys,Information Technology,28170727424,364.31,258.01,311.15999999999997,322.29
AAPL,Apple Inc.,Information Technology,3480232394752,237.23,164.08,200.655,228.87
AMAT,Applied Materials,Information Technology,162219180032,255.89,129.21,192.55,196.71
ARM,Arm Holdings,Information Technology,147338166272,188.75,46.5,117.625,140.59
ASML,ASML Holding,Information Technology,312743067648,1110.09,564.0,837.045,828.16
AZN,AstraZeneca,Health Care,243022675968,87.68,60.47,74.075,78.9
TEAM,Atlassian,Information Technology,42405367808,258.69,135.29,196.99,163.1
ADSK,Autodesk,Information Technology,58126757888,279.53,192.01,235.76999999999998,269.76
ADP,Automatic Data Processing,Industrials,113249329152,281.54,205.53,243.53500000000003,277.69
BKR,Baker Hughes,Energy,36370485248,39.05,28.32,33.685,36.36
BIIB,Biogen,Health Care,29342003200,269.43,189.44,229.435,201.44
BKNG,Booking Holdings,Consumer Discretionary,136243494912,4144.32,2733.04,3438.68,4017.51
AVGO,Broadcom Inc.,Information Technology,799136284672,185.162,80.438,132.8,167.42
CDNS,Cadence Design Systems,Information Technology,76773801984,328.99,227.05,278.02,280.35
CDW,CDW Corporation,Information Technology,30437806080,263.37,185.04,224.20499999999998,227.87
CHTR,Charter Communications,Communication Services,47294447616,458.3,236.08,347.19,331.34
CTAS,Cintas,Industrials,82329149440,209.12,118.685,163.9025,203.74
CSCO,Cisco,Information Technology,207398240256,54.59,44.5,49.545,51.44
CCEP,Coca-Cola Europacific Partners,Consumer Staples,37551316992,82.32,56.28,69.3,81.23
CTSH,Cognizant,Information Technology,37491568640,80.27,62.14,71.205,75.2
CMCSA,Comcast,Communication Services,155945680896,47.11,36.43,41.769999999999996,40.27
CEG,Constellation Energy,Utilities,79729434624,255.24,102.405,178.8225,208.5
CPRT,Copart,Industrials,49847005184,58.58,42.41,50.495,51.8
CSGP,CoStar Group,Real Estate,32498573312,100.38,67.35,83.865,79.29
COST,Costco,Consumer Staples,402095964160,923.83,540.23,732.03,900.74
CRWD,CrowdStrike,Information Technology,69780193280,398.327,157.59,277.9585,277.38
CSX,CSX Corporation,Industrials,67720187904,40.12,29.03,34.575,34.8
DDOG,Datadog,Information Technology,38930837504,138.61,77.81,108.21000000000001,115.52
DXCM,DexCom,Health Care,28810166272,142.0,62.34,102.17,71.92
FANG,Diamondback Energy,Energy,53724786688,214.5,143.08,178.79000000000002,181.63
DLTR,Dollar Tree,Consumer Staples,15882600448,151.22,60.82,106.02,73.88
DASH,DoorDash,Consumer Discretionary,57500508160,143.34,69.9,106.62,137.29
EA,Electronic Arts,Communication Services,37183516672,153.51,117.47,135.49,140.74
EXC,Exelon,Utilities,40290136064,41.48,33.35,37.415,39.29
FAST,Fastenal,Industrials,40869728256,79.04,53.94,66.49000000000001,71.38
FTNT,Fortinet,Information Technology,58729635840,78.08,44.12,61.099999999999994,75.66
GEHC,GE HealthCare,Health Care,41387331584,94.5,62.35,78.425,90.62
GILD,Gilead Sciences,Health Care,104504459264,87.87,62.07,74.97,83.9
GFS,GlobalFoundries,Information Technology,22633910272,62.61,38.49,50.55,41.02
HON,Honeywell,Industrials,132110598144,220.79,174.88,197.83499999999998,203.7
IDXX,Idexx Laboratories,Health Care,42571988992,583.39,372.5,477.945,517.06
ILMN,"Illumina, Inc.",Health Care,21403836416,144.1537,86.575874,115.36478699999999,134.39
INTC,Intel,Information Technology,93387841536,51.28,18.51,34.895,21.14
INTU,Intuit,Information Technology,183477075968,676.62,473.56,575.09,654.24
ISRG,Intuitive Surgical,Health Care,174187954176,496.18,254.85,375.515,490.01
KDP,Keurig Dr Pepper,Consumer Staples,50853072896,37.84,27.66,32.75,37.5
KLAC,KLA Corporation,Information Technology,103813709824,896.32,440.15,668.235,772.43
KHC,Kraft Heinz,Consumer Staples,42299498496,38.96,30.68,34.82,34.99
LRCX,Lam Research,Information Technology,102501023744,1130.0,574.42,852.21,789.07
LIN,Linde plc,Materials,225338441728,479.79,361.02,420.405,469.17
LULU,Lululemon Athletica,Consumer Discretionary,33246687232,516.39,226.01,371.2,270.76
MAR,Marriott International,Consumer Discretionary,68820959232,260.57,180.75,220.66,244.46
MRVL,Marvell Technology,Information Technology,64861040640,85.76,46.07,65.915,74.88
