Symbol,Stock Price,Predicted Short Position for Next Month,Difference,Company Name,Sector,Industry,Market Capital,P/E Ratio,P/B Ratio,PEG Ratio,Dividend Yield,EPS,Revenue,Profit Margin,EBITDA,Earnings Date
CSCO,49.61,45.92,3.69,"Cisco Systems, Inc.",Technology,Communication Equipment,207398240256.0,20.46063,4.5812764,3.57,0.0308,2.54,53802999808.0,0.19181,15281999872.0,Not Available
ISRG,494.01,471.61,22.4,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,172773113856.0,84.117645,11.744813,5.23,Not Available,5.78,7572499968.0,0.27649,2385999872.0,Not Available
PDD,97.33,95.37,1.96,PDD Holdings Inc.,Consumer Cyclical,Internet Retail,138738122752.0,10.549102,0.54416806,14.23,Not Available,9.47,341592997888.0,0.28931,97656446976.0,Not Available
VRTX,478.65,470.42,8.23,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,119996784640.0,Not Available,8.11903,121.12,Not Available,-1.91,10337399808.0,-0.04739,4394899968.0,Not Available
GILD,83.16,74.67,8.49,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers—General,104504459264.0,102.36586,5.7211018,3.66,0.0367,0.82,27804999680.0,0.03791,13461999616.0,Not Available
MDB,295.18,241.29,53.89,"MongoDB, Inc.",Technology,Software—Infrastructure,20568965120.0,Not Available,15.08887,46.34,Not Available,-2.95,1819609984.0,-0.12084,-264264992.0,Not Available
MCHP,76.08,74.97,1.11,Microchip Technology Incorporated,Technology,Semiconductors,41316249600.0,31.304878,6.449749,-3.63,0.023,2.46,6587100160.0,0.20795,2720900096.0,Not Available
CDNS,269.9,251.22,18.68,"Cadence Design Systems, Inc.",Technology,Software—Application,74960969728.0,72.42329,17.592701,2.72,Not Available,3.78,4161500928.0,0.25361001,1364988032.0,Not Available
CCEP,80.63,75.73,4.9,Coca-Cola Europacific Partners PLC,Consumer Defensive,Beverages—Non-Alcoholic,37331644416.0,20.899483,4.3785095,1.98,0.0255,3.88,19153000448.0,0.08416,2948000000.0,Not Available
CHTR,339.03,327.13,11.9,"Charter Communications, Inc.",Communication Services,Telecom Services,47161622528.0,10.569418,3.6619155,1.89,Not Available,31.26,54658998272.0,0.08507,21283999744.0,Not Available
