Symbol,Current Stock Price,Predicted Short Position,Difference,Company Name,Sector,Industry,Market Capital,P/E Ratio,P/B Ratio,PEG Ratio,Dividend Yield,EPS,Revenue,Profit Margin,EBITDA,Earnings Date
CSCO,$59.21,$46.23,"$12.98
","Cisco Systems, Inc.",Technology,Communication Equipment,236235816960.0,25.456911,5.226877,Not Available,0.0269,2.33,52976001024.0,0.17731,13752000512.0,Not Available
ISRG,$542.00,$333.44,"$208.56
","Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,191342936064.0,86.091354,12.2793665,Not Available,Not Available,6.24,7866899968.0,0.28513,2505100032.0,Not Available
PDD,$96.56,$96.01,"$0.55
",PDD Holdings Inc.,Consumer Cyclical,Internet Retail,137460465664.0,9.742126,0.72731817,Not Available,Not Available,10.16,341592997888.0,0.28931,97656446976.0,Not Available
VRTX,$468.13,$364.11,"$104.02
",Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,119014449152.0,Not Available,7.6202884,Not Available,Not Available,-1.91,10625800192.0,-0.045149997,4446600192.0,Not Available
GILD,$92.58,$66.53,"$26.05
","Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,117411094528.0,1046.7777,6.353949,Not Available,0.0328,0.09,28298999808.0,0.00445,13948999680.0,Not Available
MDB,$322.49,$246.47,"$76.02
","MongoDB, Inc.",Technology,Software - Infrastructure,23934457856.0,Not Available,17.55771,Not Available,Not Available,-3.02,1819609984.0,-0.12084,-264264992.0,Not Available
MCHP,$68.17,$66.49,"$1.68
",Microchip Technology Incorporated,Technology,Semiconductors,36237434880.0,46.86111,5.773937,Not Available,0.025899999,1.44,5496600064.0,0.14220001,1950800000.0,Not Available
CDNS,$306.81,$254.83,"$51.98
","Cadence Design Systems, Inc.",Technology,Software - Application,84791148544.0,81.57256,18.580444,Not Available,Not Available,3.79,4353906176.0,0.23868,1450493056.0,Not Available
CCEP,$77.58,$61.92,"$15.66
",Coca-Cola Europacific Partners PLC,Consumer Defensive,Beverages - Non-Alcoholic,37283319808.0,21.140923,4.212203,Not Available,0.0275,3.69,19153000448.0,0.08416,2948000000.0,Not Available
CHTR,$396.97,$269.99,"$126.98
","Charter Communications, Inc.",Communication Services,Telecom Services,55995617280.0,12.3417425,3.9719322,Not Available,Not Available,31.91,54869999616.0,0.085200004,21500000256.0,Not Available
KDP,$32.65,$29.79,"$2.86
",Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,43962544128.0,19.524097,1.7606474,Not Available,0.028299998,1.66,15148000256.0,0.15038,4230000128.0,Not Available
ZS,$206.59,$165.90,"$40.69
","Zscaler, Inc.",Technology,Software - Infrastructure,30162016256.0,Not Available,23.529623,Not Available,Not Available,-0.25,2167770880.0,-0.026619999,-90237000.0,Not Available
WBD,$10.48,$7.30,"$3.18
","Warner Bros. Discovery, Inc.",Communication Services,Entertainment,25525231616.0,Not Available,0.7268599,Not Available,Not Available,-4.58,39578001408.0,-0.28342,7144999936.0,Not Available
ADI,$218.05,$186.81,"$31.24
","Analog Devices, Inc.",Technology,Semiconductors,109919854592.0,67.52439,3.12485,Not Available,0.0165,3.28,9700435968.0,0.17068,4361349120.0,Not Available
ADBE,$515.93,$458.55,"$57.38
",Adobe Inc.,Technology,Software - Infrastructure,224788119552.0,43.2022,15.623374,Not Available,Not Available,11.82,20946999296.0,0.25588,8134000128.0,Not Available
SMCI,$32.64,$28.07,"$4.57
","Super Micro Computer, Inc.",Technology,Computer Hardware,24055011328.0,20.437813,4.407726,Not Available,Not Available,2.01,14942854144.0,0.08085,1304590720.0,Not Available
CPRT,$63.39,$48.29,"$15.10
","Copart, Inc.",Industrials,Specialty Business Services,59435225088.0,43.136368,7.8951745,Not Available,Not Available,1.43,4236823040.0,0.32171002,1754322944.0,Not Available
PEP,$163.45,$159.36,"$4.09
","PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,223071846400.0,23.980825,11.475861,Not Available,0.0332,6.78,91919998976.0,0.1018,16913000448.0,Not Available
COST,$971.88,$624.32,"$347.56
",Costco Wholesale Corporation,Consumer Defensive,Discount Stores,431111045120.0,58.68517,18.252422,Not Available,0.0047999998,16.58,254453006336.0,0.02895,11521999872.0,Not Available
MDLZ,$64.95,$65.14,"$-0.19
","Mondelez International, Inc.",Consumer Defensive,Confectioners,86589734912.0,22.962765,3.1087372,Not Available,0.028800001,2.82,36151001088.0,0.10556,7414000128.0,Not Available
BKNG,$5201.98,$3343.11,"$1858.87
",Booking Holdings Inc.,Consumer Cyclical,Travel Services,172961710080.0,35.3463,Not Available,Not Available,0.0067000003,147.85,23051999232.0,0.21846001,7183000064.0,Not Available
GFS,$43.25,$38.64,"$4.61
",GlobalFoundries Inc.,Technology,Semiconductors,24634595328.0,33.76894,2.1360457,Not Available,Not Available,1.32,6774000128.0,0.10954001,2343000064.0,Not Available
XEL,$72.56,$50.81,"$21.75
",Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,40998002688.0,21.18546,2.1180432,Not Available,0.0308,3.37,13763000320.0,0.13667,5510000128.0,Not Available
WDAY,$249.99,$217.08,"$32.91
","Workday, Inc.",Technology,Software - Application,67704852480.0,41.95238,8.341169,Not Available,Not Available,6.09,7863000064.0,0.19598,636000000.0,Not Available
FAST,$83.56,$63.79,"$19.77
",Fastenal Company,Industrials,Industrial Distribution,47228723200.0,41.014927,13.12948,Not Available,0.0189,2.01,7480099840.0,0.15439999,1693200000.0,Not Available
KHC,$31.97,$30.97,"$1.00
",The Kraft Heinz Company,Consumer Defensive,Packaged Foods,38252093440.0,28.5,0.7913894,Not Available,0.0506,1.11,26129999872.0,0.05243,6446000128.0,Not Available
ABNB,$136.11,$118.53,"$17.58
","Airbnb, Inc.",Consumer Cyclical,Travel Services,86068584448.0,48.0,10.35478,Not Available,Not Available,2.87,10840000512.0,0.16956,1672999936.0,Not Available
SBUX,$102.46,$75.32,"$27.14
",Starbucks Corporation,Consumer Cyclical,Restaurants,114485444608.0,30.506042,Not Available,Not Available,0.024,3.31,36176199680.0,0.10396,6700000256.0,Not Available
INTU,$641.73,$575.70,"$66.03
",Intuit Inc.,Technology,Software - Application,177591943168.0,61.77653,9.644953,Not Available,0.0061000003,10.27,16284999680.0,0.18195,4496000000.0,Not Available
ODFL,$225.14,$174.91,"$50.23
","Old Dominion Freight Line, Inc.",Industrials,Trucking,46760333312.0,38.35727,11.213394,Not Available,0.0046,5.71,5924531200.0,0.21027,1971409024.0,Not Available
MNST,$55.13,$46.63,"$8.50
",Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,53050966016.0,34.96795,9.178866,Not Available,Not Available,1.56,7410776064.0,0.21662001,2105284992.0,Not Available
AMZN,$207.89,$151.34,"$56.55
","Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2233281019904.0,45.38248,8.61448,Not Available,Not Available,4.68,620127977472.0,0.080419995,111583002624.0,Not Available
GEHC,$83.22,$70.04,"$13.18
",GE HealthCare Technologies Inc.,Healthcare,Health Information Services,37607501824.0,22.552055,4.52156,Not Available,0.0017,3.65,19559000064.0,0.08564,3571000064.0,Not Available
