Symbol,Company Name,Market Cap
IRWD,"Ironwood Pharmaceuticals, Inc.",636911424
ITGR,Integer Holdings Corporation,4639194112
ITRI,"Itron, Inc.",5191616512
JACK,Jack in the Box,909889728
JBGS,JBG Smith,1402331520
JBLU,JetBlue,2365701120
JBSS,"John B. Sanfilippo & Son, Inc.",1020295744
JBT,John Bean Technologies Corporation,3928739840
JJSF,J&J Snack Foods Corp.,3323794176
JOE,St. Joe Company,2836366592
JXN,"Jackson Financial, Inc.",6966644736
KALU,Kaiser Aluminum Corporation,1303128064
KAR,"OPENLANE, Inc.",2192439040
KELYA,"Kelly Services, Inc.",525139648
KFY,Korn/Ferry International,3752764672
KLG,WK Kellogg Co,1781069184
KLIC,"Kulicke and Soffa Industries, Inc.",2701106944
KMT,Kennametal,2122694400
KN,Knowles Corporation,1734957312
KOP,"Koppers Holdings, Inc.",708398080
KREF,"KKR Real Estate Finance Trust, Inc.",787561792
KRYS,"Krystal Biotech, Inc.",5303435776
KSS,Kohl's Corp.,1698712704
KTB,Kontoor Brands,4845283840
KW,"Kennedy-Wilson Holdings, Inc.",1558252160
KWR,Quaker Chemical Corporation,2778276608
LBRT,"Liberty Energy, Inc.",2846706688
LCII,LCI Industries,3024169216
LEG,Leggett & Platt,1610197120
LESL,"Leslie's, Inc.",490167840
LGIH,LGI Homes,2574022912
LGND,"Ligand Pharmaceuticals, Inc.",2198290688
LKFN,Lakeland Financial,1862455296
LMAT,LeMaitre Vascular,2186119424
LNC,Lincoln Financial,5745669632
LNN,Lindsay Corporation,1413464192
LPG,Dorian LPG Ltd.,990924160
LQDT,"Liquidity Services, Inc.",759951424
LRN,"Stride, Inc.",4703194624
LTC,"LTC Properties, Inc.",1693659008
LUMN,Lumen Technologies,6596264960
LXP,Lexington Realty Trust,2749569024
LZB,"La-Z-Boy, Inc.",1880748544
MAC,Macerich,5625001472
MARA,"Marathon Digital Holdings, Inc.",7677278720
MATV,"Mativ Holdings, Inc.",654203008
MATW,Matthews International Corporation,914402688
MATX,"Matson, Inc.",4816460800
MBC,"MasterBrand, Inc.",2134059520
MC,Moelis & Company,5336528384
MCRI,"Monarch Casino & Resort, Inc.",1567119104
MCW,"Mister Car Wash, Inc.",2494214912
MCY,Mercury General,4093031680
MD,Pediatrix Medical Group,1229808640
MDU,"MDU Resources Group, Inc.",3892221952
MGEE,"MGE Energy, Inc.",3612784384
MGPI,"MGP Ingredients, Inc.",1020389376
MGY,"Magnolia Oil & Gas, Corp.",5065351168
MHO,"M/I Homes, Inc.",4379749376
MLAB,Mesa Laboratories Inc,711841920
MLKN,"MillerKnoll, Inc.",1785161600
MMI,"Marcus & Millichap, Inc.",1611571712
MMSI,"Merit Medical Systems, Inc.",5949743616
MNRO,"Monro, Inc.",824507008
MODG,Topgolf Callaway Brands,1525739264
MOG.A,Moog Inc.,N/A
MP,MP Materials,3349007872
MPW,Medical Properties Trust,2509671936
MRCY,Mercury Systems,2270209280
MRTN,Marten Transport Ltd.,1403345536
MSEX,Middlesex Water Company,1076847104
MSGS,Madison Square Garden Sports Corp.,5464633344
MTH,Meritage Homes Corporation,6743515648
MTRN,Materion Corp.,2380174080
MTUS,Metallus Inc,721978176
MTX,Minerals Technologies,2551096064
MXL,"MaxLinear, Inc.",1639149824
MYGN,"Myriad Genetics, Inc.",1354603776
MYRG,"MYR Group, Inc.",2622710528
NABL,"N-able, Inc.",1938824192
NARI,Inari Medical,3125674752
NATL,NCR Atleos,2409491200
NAVI,Navient,1588972416
NBHC,National Bank Holdings Corporation,1774089984
NBR,"Nabors Industries, Ltd.",647055744
NBTB,"NBT Bancorp, Inc.",2371141120
NEO,"NeoGenomics Laboratories, Inc.",2298945536
NGVT,"Ingevity, Corp.",1694594944
NHC,"National Healthcare, Corp.",1885821440
NMIH,"NMI Holdings, Inc.",2974571776
NOG,"Northern Oil and Gas, Inc.",4078857728
NPK,"National Presto Industries, Inc.",642581696
NPO,"EnPro Industries, Inc.",4078593792
NSIT,"Insight Enterprises, Inc.",5125100032
NTCT,"NETSCOUT Systems, Inc.",1600729984
NVEE,NV5 Global,1363848320
NVRI,Enviri Corporation,617041024
NWBI,"Northwest Bancshares, Inc.",1817998080
NWL,Newell Brands,4788160000
NWN,NW Natural,1675912192
NX,Quanex Building Products Corporation,1389684224
NXRT,"NexPoint Residential Trust, Inc.",2387628032
NYMT,"New York Mortgage Trust, Inc.",595106688
ODP,The ODP Corporation,845719040
OFG,OFG Bancorp,2044755840
OGN,Organon & Co.,3875962112
OI,"O-I Glass, Inc.",1827927552
OII,"Oceaneering International, Inc.",2722556416
OMCL,Omnicell,2181521152
OMI,"Owens & Minor, Inc.",1091092352
OSIS,"OSI Systems, Inc.",3058057984
OTTR,Otter Tail Corporation,3309849600
OUT,Outfront Media,3153733888
OXM,"Oxford Industries, Inc.",1278225280
PAHC,Phibro Animal Health,944543936
PARR,"Par Pacific Holdings, Inc.",929923968
PAYO,Payoneer Global Inc.,3608923392
PATK,"Patrick Industries, Inc.",3062052608
PBH,Prestige Consumer Healthcare,4114489856
PBI,"Pitney Bowes, Inc.",1431803776
PCRX,"Pacira BioSciences, Inc.",881446400
PDCO,Patterson Companies,2031267968
PDFS,"PDF Solutions, Inc.",1196144000
PEB,Pebblebrook Hotel Trust,1765471744
PECO,Phillips Edison & Company,5341078528
PENN,Penn Entertainment,3031211776
PFBC,Preferred Bank,1228263552
PFS,"Provident Financial Services, Inc.",2673699072
PGNY,Progyny,1348828160
PHIN,"PHINIA, Inc.",2231187456
PI,"Impinj, Inc.",4504111104
PINC,"Premier, Inc.",2098050688
PIPR,Piper Sandler Companies,5163851776
PJT,"PJT Partners, Inc.",6244905472
PLAB,"Photronics, Inc.",1636428672
PLAY,"Dave & Buster's Entertainment, Inc.",1390872960
PLMR,"Palomar Holdings, Inc.",2841908224
PLUS,"ePlus, Inc.",2134590848
PLXS,Plexus Corp.,4549897728
PMT,PennyMac Mortgage Investment Trust,1180440960
POWL,"Powell Industries, Inc.",3097982720
PPBI,"Pacific Premier Bancorp, Inc.",2656938496
PRA,ProAssurance Corporation,861472128
PRAA,"PRA Group, Inc.",842548608
PRDO,Perdoceo Education Corp.,1765142528
PRG,"PROG Holdings, Inc.",1947554688
PRGS,Progress Software Corporation,2948002560
PRK,Park National Corp.,3044032512
PRLB,Protolabs,1065944320
PRVA,"Privia Health Group, Inc.",2581221632
PSMT,PriceSmart,2921680640
PTEN,"Patterson-UTI Energy, Inc.",2998761728
PTGX,"Protagonist Therapeutics, Inc.",2413719040
PUMP,ProPetro Holding Corp.,811088384
PZZA,Papa John's Pizza,1641872512
QDEL,QuidelOrtho,2725914112
QNST,"QuinStreet, Inc.",1228783872
RAMP,"LiveRamp Holdings, Inc.",2073446784
RC,Ready Capital Corp,1264029824
RCUS,"Arcus Biosciences, Inc.",1598707584
RDN,"Radian Group, Inc.",5010105856
RDNT,"RadNet, Inc.",5842187264
RES,"RPC, Inc.",1255436544
REX,REX American Resources Corporation,719201152
REZI,"Resideo Technologies, Inc.",3966774272
RGNX,REGENXBIO Inc.,503873664
RGR,"Sturm, Ruger & Company, Inc.",617229760
RHI,Robert Half,7763142144
RNST,Renasant Corp.,2343667200
ROCK,"Gibraltar Industries, Inc.",2125090688
ROG,Rogers Corporation,2032139392
ROIC,Retail Opportunity Investments Corp.,2228622848
RUN,Sunrun,2514840320
RUSHA,Rush Enterprises,4787424768
RWT,"Redwood Trust, Inc.",924546304
RXO,"RXO, Inc.",4601809920
SAFE,"Safehold, Inc.",1511590016
SABR,Sabre,1446952576
SAFT,"Safety Insurance Group, Inc.",1264123392
SAH,"Sonic Automotive, Inc.",2296548864
SANM,Sanmina Corporation,4302883328
SATS,EchoStar Corporation,6789295104
SBCF,Seacoast Banking Corporation of Florida,2531616768
SBH,"Sally Beauty Holdings, Inc.",1296945024
SBSI,"Southside Bancshares, Inc.",1059581632
SCHL,Scholastic Corporation,750424448
SCL,Stepan Company,1699699456
SCSC,"ScanSource, Inc.",1236879104
SCVL,"Shoe Carnival, Inc.",929106368
SDGR,"Schrödinger, Inc.",1578850176
SEDG,SolarEdge,827527424
SEE,Sealed Air,5424113152
SEM,"Select Medical Holdings, Corp.",2587599616
SFBS,"ServisFirst Bancshares, Inc.",5153019904
SFNC,Simmons First National Corporation,3031332096
SGH,"SMART Global Holdings, Inc.",1106515712
SHAK,"Shake Shack, Inc.",5677919744
SHEN,Shenandoah Telecommunications Co,743134592
SHO,"Sunstone Hotel Investors, Inc.",2436929024
SHOO,"Steven Madden, Ltd.",3164853504
SIG,Signet Jewelers,3760701440
SITC,SITE Centers Corp.,811167488
SITM,SiTime,5892831232
FUN,Six Flags,4670016512
SJW,SJW Group,1767090944
SKT,"Tanger Factory Outlet Centers, Inc.",3989375744
SKYW,"SkyWest, Inc.",4282812160
SLG,SL Green Realty,5507318784
SLP,"Simulations Plus, Inc.",610042880
SLVM,Sylvamo Corp.,3743237632
SM,SM Energy Company,4655668224
SMP,"Standard Motor Products, Inc.",737672320
SMPL,Simply Good Foods Company,3996853504
SMTC,Semtech Corporation,4914847232
SNCY,Sun Country Airlines,766038912
SNDR,Schneider National,5525335040
SNEX,StoneX Group Inc.,3295134720
SONO,"Sonos, Inc.",1811848320
SPNT,SiriusPoint Ltd.,2552642816
SPSC,"SPS Commerce, Inc.",7363723264
SPTN,SpartanNash Company,641678784
SPXC,SPX Corporation,7361761792
SSTK,"Shutterstock, Inc.",1140648704
STAA,STAAR Surgical Company,1294970624
STBA,"S&T Bancorp, Inc.",1635602176
STC,Stewart Information Services Corporation,2139560832
STEL,"Stellar Bancorp, Inc.",1633063680
STEP,StepStone Group,7269745152
STRA,"Strategic Education, Inc.",2422542848
SUPN,"Supernus Pharmaceuticals, Inc.",2025443968
SVC,Service Properties Trust,468280864
SXC,"SunCoke Energy, Inc.",1027608000
SXI,Standex International Corporation,2476144384
SXT,Sensient Technologies,3304142336
SWI,SolarWinds Corporation,2449413888
TALO,"Talos Energy, Inc.",1837401728
TBBK,"The Bancorp, Inc.",2675090688
TDS,"Telephone and Data Systems, Inc.",3792202752
TDW,"Tidewater, Inc.",2478540544
TFIN,"Triumph Bancorp, Inc.",2381081344
TGI,"Triumph Group, Inc.",1462694272
TGNA,Tegna,3014592512
TGTX,"TG Therapeutics, Inc.",5112038400
THRM,Gentherm Incorporated,1325625728
THRY,"Thryv Holdings, Inc.",692868928
THS,"TreeHouse Foods, Inc.",1722368000
TILE,"Interface, Inc.",1528137344
TMDX,"TransMedics Group, Inc.",2343934976
TMP,Tompkins Financial Corporation,1088307712
TNC,Tennant Company,1613813120
TNDM,Tandem Diabetes Care,2108215552
TPH,"Tri Pointe Homes, Inc.",3928912128
TR,"Tootsie Roll Industries, Inc.",2357788416
TRIP,TripAdvisor,1952097408
TRMK,Trustmark Corp.,2314830080
TRN,"Trinity Industries, Inc.",3069609728
TRST,TrustCo Bank Corp NY,687986368
TRUP,Trupanion,2371659264
TTGT,TechTarget,686437760
TTMI,"TTM Technologies, Inc.",2520673536
TWI,"Titan International, Inc.",561309312
TWO,Two Harbors Investment Corp.,1233435008
UCBI,"United Community Banks, Inc.",N/A
UCTT,"Ultra Clean Holdings, Inc.",1702821248
UE,Urban Edge Properties,3060345344
UFCS,"United Fire Group, Inc.",783324288
UFPT,"UFP Technologies, Inc.",2203385344
UHT,Universal Health Realty Income Trust,575450880
UNF,UniFirst Corporation,3619141888
UNFI,United Natural Foods Inc,1478559104
UNIT,Uniti Group,1379249792
UPBD,"Upbound Group, Inc.",1875102208
URBN,"Urban Outfitters, Inc.",4541814784
USNA,"Usana Health Sciences, Inc.",727314304
USPH,"U.S. Physical Therapy, Inc.",1456667520
UTL,Unitil Corporation,933145472
UVV,Universal Corporation,1396125312
VBTX,"Veritex Holdings, Inc.",1613268352
VCEL,Vericel,2781839360
VECO,Veeco Instruments Inc.,1637483264
VFC,VF Corporation,8308067840
VIAV,VIAVI Solutions,2326818304
VICR,Vicor Corporation,2502658048
VIR,"Vir Biotechnology, Inc.",1200918400
VIRT,"Virtu Financial, Inc.",5541616128
VRE,"Veris Residential, Inc.",1935238400
VRRM,Verra Mobility Corporation,3887726336
VRTS,"Virtus Investment Partners, Inc.",1735880704
VSAT,"Viasat, Inc.",1223594752
VSCO,Victoria's Secret,3706403840
VSTO,Vista Outdoor Inc.,2607619328
VSTS,Vestis,2143938944
VTOL,Bristow Group Inc.,991101312
VTLE,"Vital Energy, Inc.",1178924544
VVI,Viad Corp,925038912
VYX,NCR Voyix,2128213376
WABC,Westamerica Bank,1513896704
WAFD,"WaFd, Inc.",2919740928
WD,"Walker & Dunlop, Inc.",3617078272
WDFC,WD-40 Company,3662345216
WERN,Werner Enterprises,2431518976
WGO,"Winnebago Industries, Inc.",1661639808
WHD,"Cactus, Inc.",4277328128
WKC,World Kinect Corporation,1642431744
WLY,John Wiley & Sons,2488195072
WNC,Wabash National,855905728
WOLF,Wolfspeed,1286069888
WOR,Worthington Enterprises,2085802496
WRLD,World Acceptance Corporation,691845760
WS,Worthington Steel,2257002240
WSFS,WSFS Financial Corporation,3484988672
WSR,Whitestone REIT,737119232
WT,"WisdomTree Investments, Inc.",1639286912
WWW,"Wolverine World Wide, Inc.",1808713600
XHR,"Xenia Hotels & Resorts, Inc.",1733724288
XNCR,Xencor Inc,1763546496
XPEL,"XPEL, Inc.",1246077312
XRX,Xerox,1104441088
YELP,"Yelp, Inc.",2599799040
YOU,"Clear Secure, Inc.",3829455104
ZD,Ziff Davis,2511478784
ZWS,Zurn Elkay Water Solutions Corp.,6944696320
