Symbol,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
BXMT,"Blackstone Mortgage Trust, Inc.",Real Estate,3074014464,22.04,16.53,18.3713,17.41
NVGS,Navigator Holdings Ltd.,Energy,1114727040,18.18,14.55,16.0267,15.35
NYT,The New York Times Company,Communication Services,8576434176,58.16,41.55,51.5041,52.05
PAAS,Pan American Silver Corp.,Basic Materials,7777077248,26.05,12.16,20.7853,20.22
LADR,Ladder Capital Corp,Real Estate,1423163648,12.48,10.1,11.4235,11.19
MA,Mastercard Incorporated,Financial Services,479474909184,537.7,416.53,479.8577,526.57
OFG,OFG Bancorp,Financial Services,1909356672,47.66,33.19,40.67935,42.32
AIV,Apartment Investment and Management Company,Real Estate,1278484352,9.49,7.06,8.5095,9.09
CP,Canadian Pacific Kansas City Limited,Industrials,68889255936,91.58,70.89,80.50845,72.37
TKR,The Timken Company,Industrials,4897686528,94.71,69.77,82.4758,71.37
RFL,"Rafael Holdings, Inc.",Real Estate,59323088,2.5,1.29,1.6765,1.65
LYV,"Live Nation Entertainment, Inc.",Communication Services,29800308736,141.18,86.67,105.87835,129.5
RH,RH,Consumer Cyclical,7349966336,457.26,212.43,298.696,393.59
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,5422565376,34.879,23.58,29.96985,31.28
SCHW,The Charles Schwab Corporation,Financial Services,135168540672,83.35,59.67,71.4469,74.01
THO,"THOR Industries, Inc.",Consumer Cyclical,5029803520,129.31,88.37,103.05785,95.71
SEMR,"Semrush Holdings, Inc.",Technology,1720814336,16.42,9.64,13.688,11.88
FERG,Ferguson Enterprises Inc.,Industrials,34794938368,225.63,171.68,204.05534,173.57
BABA,Alibaba Group Holding Limited,Consumer Cyclical,202254893056,117.82,66.63,83.88985,84.79
NREF,"NexPoint Real Estate Finance, Inc.",Real Estate,354367136,18.09,12.629,14.8215,15.69
ZTO,ZTO Express (Cayman) Inc.,Industrials,15430095872,27.5,15.895,21.48745,19.55
PRM,"Perimeter Solutions, Inc.",Basic Materials,1855633280,14.44,3.88,10.18305,12.78
FNA,"Paragon 28, Inc.",Healthcare,897481664,14.79,4.65,8.13555,10.33
OBDC,Blue Owl Capital Corporation,Financial Services,5958613504,16.91,13.98,15.35505,15.12
TXT,Textron Inc.,Industrials,14059954176,97.34,75.23,87.2792,76.49
CTOS,"Custom Truck One Source, Inc.",Industrials,1129810944,7.0,3.03,4.5745,4.81
EVC,Entravision Communications Corporation,Communication Services,208770080,4.41,1.33,2.11575,2.35
SKT,Tanger Inc.,Real Estate,3764668672,37.57,25.67,30.4867,34.13
VPG,"Vishay Precision Group, Inc.",Technology,307797440,35.98,20.83,28.4013,23.47
CFG,"Citizens Financial Group, Inc.",Financial Services,19214563328,49.25,30.24,39.6898,43.76
CE,Celanese Corporation,Basic Materials,7479127040,172.16,66.73,127.9993,69.21
AXR,AMREP Corporation,Real Estate,164016704,39.67,15.88,25.2731,31.4
MPLN,MultiPlan Corporation,Healthcare,209417040,53.6,4.8,15.4597,14.78
CFR,"Cullen/Frost Bankers, Inc.",Financial Services,8514150912,147.64,94.09,115.00115,134.25
KEX,Kirby Corporation,Industrials,6025277952,132.21,74.88,116.15795,105.8
MNR,N/A,Energy,1766574208,21.19,14.46,18.167974,17.18
PNR,Pentair plc,Industrials,16589193216,110.71,68.33,89.409,100.64
IVR,Invesco Mortgage Capital Inc.,Real Estate,495559232,9.97,7.6,8.8208,8.05
CIA,"Citizens, Inc.",Financial Services,215097440,5.95,1.78,3.2693,4.01
LOCL,Local Bounti Corporation,Consumer Defensive,18609692,3.333,1.18,2.551925,2.07
HAYW,"Hayward Holdings, Inc.",Industrials,3270151424,16.87,11.805,14.49935,15.29
ECVT,Ecovyst Inc.,Basic Materials,900622272,11.35,6.02,8.30435,7.64
GIL,Gildan Activewear Inc.,Consumer Cyclical,7231145472,50.6,30.68,42.06315,47.05
