Symbol,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
MMM,3M Company,Industrials,70629294080,141.34,75.652176,116.03572,129.09
AOS,A. O. Smith Corporation,Industrials,9762513920,92.45,67.29,81.2503,68.21
ABT,Abbott Laboratories,Healthcare,196757143552,121.64,99.71,110.52105,113.11
ABBV,AbbVie Inc.,Healthcare,317095608320,207.32,153.58,178.7933,177.7
ACN,Accenture plc,Technology,218179944448,387.51,278.69,332.65186,351.79
ADBE,Adobe Inc.,Technology,194128199680,638.25,432.47,509.059,444.68
AMD,"Advanced Micro Devices, Inc.",Technology,195759570944,227.3,117.9,153.12344,120.79
AES,The AES Corporation,Utilities,9278902272,22.21,12.24,17.1511,12.87
AFL,Aflac Incorporated,Financial Services,56863846400,115.5,75.08,98.40755,103.44
A,"Agilent Technologies, Inc.",Healthcare,38106939392,155.35,124.16,138.2369,134.34
APD,"Air Products and Chemicals, Inc.",Basic Materials,62997749760,337.0,212.24,278.8812,288.27
ABNB,"Airbnb, Inc.",Consumer Cyclical,82145017856,170.1,110.38,140.03532,131.41
AKAM,"Akamai Technologies, Inc.",Technology,14334660608,129.17,84.7,97.8638,95.65
ALB,Albemarle Corporation,Basic Materials,10017934336,143.19,71.97,103.10145,86.08
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,17039295488,130.4,96.3296,116.29305,97.55
ALGN,"Align Technology, Inc.",Healthcare,15564426240,335.4,196.09,248.6385,208.51
ALLE,Allegion plc,Industrials,11178237952,156.1,113.27,132.44556,130.68
LNT,Alliant Energy Corporation,Utilities,15013607424,64.19,46.8,55.5944,59.14
ALL,The Allstate Corporation,Financial Services,50828935168,209.88,147.6,179.11885,192.79
GOOGL,Alphabet Inc.,Communication Services,2325461598208,201.42,130.67,169.6972,189.3
GOOG,Alphabet Inc.,Communication Services,2325457403904,202.88,131.55,171.2017,190.44
MO,"Altria Group, Inc.",Consumer Defensive,88994471936,58.04,39.25,49.2129,52.29
AMZN,"Amazon.com, Inc.",Consumer Cyclical,2315613372416,233.0,144.53,189.9675,219.39
AMCR,Amcor plc,Consumer Cyclical,13513929728,11.48,8.78,10.21695,9.41
AEE,Ameren Corporation,Utilities,23753922560,95.69,67.03,80.53695,89.14
AEP,"American Electric Power Company, Inc.",Utilities,48964026368,105.18,75.22,93.55595,92.23
AXP,American Express Company,Financial Services,210227511296,307.82,177.81,255.11415,296.79
AIG,"American International Group, Inc.",Financial Services,45522665472,80.83,66.06,75.43895,72.8
AMT,American Tower Corporation,Real Estate,84593328128,243.56,170.46,204.8551,183.41
AWK,"American Water Works Company, Inc.",Utilities,24139571200,150.68,113.34,133.76836,124.49
AMP,"Ameriprise Financial, Inc.",Financial Services,51413860352,577.0,368.41,464.1428,532.43
AME,"AMETEK, Inc.",Industrials,41249157120,198.33,149.03,174.33356,180.26
AMGN,Amgen Inc.,Healthcare,139371560960,346.85,253.3,304.60895,260.64
APH,Amphenol Corporation,Technology,83199148032,75.78,47.025,65.64123,69.45
ADI,"Analog Devices, Inc.",Technology,104892375040,244.14,182.57,218.82954,212.46
ANSS,"ANSYS, Inc.",Technology,29388447744,363.03,289.82,327.79654,337.33
AON,Aon plc,Financial Services,76770107392,395.33,268.06,330.4024,359.16
APA,APA Corporation,Energy,8649360384,36.05,20.32,27.6797,23.09
APO,"Apollo Global Management, Inc.",Financial Services,93846241280,189.49,94.07,128.7231,165.16
