Symbol,Company Name,Sector,Sub Industry,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",73162956800,134.99,71.36288,103.17644000000001,132.03
AOS,A. O. Smith,Building Products,"Milwaukee, Wisconsin",11663223808,92.45,64.14,78.295,79.4
ABT,Abbott Laboratories,Health Care Equipment,"North Chicago, Illinois",202524360704,121.64,89.67,105.655,116.83
ABBV,AbbVie,Biotechnology,"North Chicago, Illinois",343040884736,199.95,135.85,167.89999999999998,194.02
ACN,Accenture,IT Consulting & Other Services,"Dublin, Ireland",218971308032,387.51,278.69,333.1,349.89
ADBE,Adobe Inc.,Application Software,"San Jose, California",238048149504,638.25,433.97,536.11,586.55
AMD,Advanced Micro Devices,Semiconductors,"Santa Clara, California",246510682112,227.3,93.12,160.21,150.77
AES,AES Corporation,Independent Power Producers & Energy Traders,"Arlington, Virginia",13180531712,22.21,11.43,16.82,18.12
AFL,Aflac,Life & Health Insurance,"Columbus, Georgia",60813217792,111.14,74.89,93.015,107.97
A,Agilent Technologies,Life Sciences Tools & Services,"Santa Clara, California",39453007872,155.35,96.8,126.07499999999999,136.39
APD,Air Products,Industrial Gases,"Allentown, Pennsylvania",63166078976,301.9,212.24,257.07,280.02
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines","San Francisco, California",74467803136,170.1,110.38,140.24,117.36
AKAM,Akamai Technologies,Internet Services & Infrastructure,"Cambridge, Massachusetts",14929856512,129.17,87.59,108.38,97.3
ALB,Albemarle Corporation,Specialty Chemicals,"Charlotte, North Carolina",10277086208,183.5,71.97,127.735,88.095
ARE,Alexandria Real Estate Equities,Office REITs,"Pasadena, California",21764292608,135.45,90.73,113.09,121.91
ALGN,Align Technology,Health Care Supplies,"Tempe, Arizona",18205925376,335.4,176.34,255.87,228.86
ALLE,Allegion,Building Products,"Dublin, Ireland",12299873280,141.99,95.94,118.965,139.12
LNT,Alliant Energy,Electric Utilities,"Madison, Wisconsin",15300225024,59.8,45.15,52.474999999999994,58.91
ALL,Allstate,Property & Casualty Insurance,"Northbrook, Illinois",49718919168,191.33,108.16,149.745,186.1
GOOGL,Alphabet Inc. (Class A),Interactive Media & Services,"Mountain View, California",1943418568704,191.75,120.21,155.98,154.69
GOOG,Alphabet Inc. (Class C),Interactive Media & Services,"Mountain View, California",1943421583360,193.31,121.46,157.385,155.54
MO,Altria,Tobacco,"Richmond, Virginia",90361413632,54.95,39.07,47.010000000000005,52.64
AMZN,Amazon,Broadline Retail,"Seattle, Washington",1957324390400,201.2,118.35,159.77499999999998,187.0
AMCR,Amcor,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",15884286976,11.45,8.45,9.95,10.88
AEE,Ameren,Multi-Utilities,"St. Louis, Missouri",22409959424,85.57,67.03,76.3,83.5
AAL,American Airlines Group,Passenger Airlines,"Fort Worth, Texas",7020165632,16.15,9.07,12.61,10.88
AEP,American Electric Power,Electric Utilities,"Columbus, Ohio",55430938624,104.41,69.38,86.895,102.99
AXP,American Express,Consumer Finance,"New York City, New York",184126210048,261.75,140.91,201.32999999999998,255.15
AIG,American International Group,Multi-line Insurance,"New York City, New York",47079256064,80.83,57.72,69.275,73.18
AMT,American Tower,Telecom Tower REITs,"Boston, Massachusetts",111399051264,243.56,154.58,199.07,237.14
AWK,American Water Works,Water Utilities,"Camden, New Jersey",28865058816,149.0,113.34,131.17000000000002,147.13
AMP,Ameriprise Financial,Asset Management & Custody Banks,"Minneapolis, Minnesota",43241324544,450.35,306.63,378.49,435.38
AME,Ametek,Electrical Components & Equipment,"Berwyn, Pennsylvania",38784593920,186.33,136.89,161.61,166.89
AMGN,Amgen,Biotechnology,"Thousand Oaks, California",178635046912,346.85,249.7,298.275,330.06
APH,Amphenol,Electronic Components,"Wallingford, Connecticut",76568764416,70.84,39.34,55.09,63.45
ADI,Analog Devices,Semiconductors,"Wilmington, Massachusetts",111919448064,244.14,154.99,199.565,221.53
ANSS,Ansys,Application Software,"Canonsburg, Pennsylvania",27833507840,364.31,258.01,311.15999999999997,319.13
AON,Aon,Insurance Brokers,"London, UK",75567628288,352.49,268.06,310.275,348.26
APA,APA Corporation,Oil & Gas Exploration & Production,"Houston, Texas",8855525376,43.58,22.72,33.15,23.7
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals","Cupertino, California",3382912221184,237.23,164.08,200.655,222.77
AMAT,Applied Materials,Semiconductor Materials & Equipment,"Santa Clara, California",155375419392,255.89,129.21,192.55,183.21
APTV,Aptiv,Automotive Parts & Equipment,"Dublin, Ireland",16200491008,104.72,63.62,84.17,67.0
ACGL,Arch Capital Group,Property & Casualty Insurance,"Hamilton, Bermuda",42126012416,114.65,72.85,93.75,110.26
ADM,Archer Daniels Midland,Agricultural Products & Services,"Chicago, Illinois",28874995712,80.15,50.72,65.435,59.62
ANET,Arista Networks,Communications Equipment,"Santa Clara, California",113019682816,376.5,168.25,272.375,355.36
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,"Rolling Meadows, Illinois",65158152192,300.66,218.63,259.645,296.6
AIZ,Assurant,Multi-line Insurance,"Atlanta, Georgia",9956744192,199.5,137.5,168.5,191.31
T,AT&T,Integrated Telecommunication Services,"Dallas, Texas",155163983872,21.86,14.12,17.99,21.59
ATO,Atmos Energy,Gas Utilities,"Dallas, Texas",21262262272,136.97,101.0,118.985,134.77
ADSK,Autodesk,Application Software,"San Francisco, California",56885751808,279.53,192.01,235.76999999999998,259.47
ADP,Automatic Data Processing,Human Resource & Employment Services,"Roseland, New Jersey",113167196160,279.58,205.53,242.555,277.0
AZO,AutoZone,Automotive Retail,"Memphis, Tennessee",53355737088,3256.37,2375.35,2815.8599999999997,3104.76
AVB,AvalonBay Communities,Multi-Family Residential REITs,"Arlington, Virginia",33385439232,234.8,160.45,197.625,231.7
AVY,Avery Dennison,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",17667502080,233.48,165.21,199.345,218.47
AXON,Axon Enterprise,Aerospace & Defense,"Scottsdale, Arizona",28688760832,385.0,189.12,287.06,384.51
BKR,Baker Hughes,Oil & Gas Equipment & Services,"Houston, Texas",33414029312,39.05,28.32,33.685,33.29
BALL,Ball Corporation,"Metal, Glass & Plastic Containers","Broomfield, Colorado",20035289088,71.32,42.81,57.065,65.63
BAC,Bank of America,Diversified Banks,"Charlotte, North Carolina",299907776512,44.44,24.96,34.7,38.78
BK,BNY Mellon,Asset Management & Custody Banks,"New York City, New York",50697711616,69.74,39.66,54.699999999999996,69.02
BBWI,"Bath & Body Works, Inc.",Other Specialty Retail,"Columbus, Ohio",5962037248,52.99,26.21,39.6,27.26
BAX,Baxter International,Health Care Equipment,"Deerfield, Illinois",20264269824,44.01,31.01,37.51,39.38
BDX,Becton Dickinson,Health Care Equipment,"Franklin Lakes, New Jersey",67687849984,269.52,218.75,244.135,235.5
BRK.B,Berkshire Hathaway,Multi-Sector Holdings,"Omaha, Nebraska",N/A,N/A,N/A,N/A,N/A
BBY,Best Buy,Computer & Electronics Retail,"Richfield, Minnesota",21139675136,103.71,62.3,83.005,97.75
BIO,Bio-Rad Laboratories,Life Sciences Tools & Services,"Hercules, California",9094622208,377.88,261.59,319.735,321.93
TECH,Bio-Techne,Life Sciences Tools & Services,"Minneapolis, Minnesota",11846096896,85.57,51.79,68.67999999999999,73.2
BIIB,Biogen,Biotechnology,"Cambridge, Massachusetts",28495857664,269.43,189.44,229.435,197.89
BLK,BlackRock,Asset Management & Custody Banks,"New York City, New York",131201409024,903.46,596.18,749.8199999999999,885.12
BX,Blackstone Inc.,Asset Management & Custody Banks,"New York City, New York",184663474176,151.87,88.59,120.23,146.5
BA,Boeing,Aerospace & Defense,"Arlington, Virginia",96605282304,267.54,155.6,211.57,162.77
BKNG,Booking Holdings,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",131837722624,4144.32,2733.04,3438.68,3870.7
BWA,BorgWarner,Automotive Parts & Equipment,"Auburn Hills, Michigan",7336438784,42.27,29.51,35.89,31.98
BSX,Boston Scientific,Health Care Equipment,"Marlborough, Massachusetts",122684801024,84.12,48.35,66.235,83.83
BMY,Bristol Myers Squibb,Pharmaceuticals,"New York City, New York",99606159360,59.46,39.35,49.405,48.24
AVGO,Broadcom,Semiconductors,"Palo Alto, California",783209594880,185.162,79.509,132.3355,164.56
BR,Broadridge Financial Solutions,Data Processing & Outsourced Services,"Lake Success, New York",24736473088,223.81,166.73,195.26999999999998,210.53
BRO,Brown & Brown,Insurance Brokers,"Daytona Beach, Florida",29418964992,106.02,66.73,86.375,102.17
BF.B,Brown–Forman,Distillers & Vintners,"Louisville, Kentucky",N/A,N/A,N/A,N/A,N/A
BLDR,Builders FirstSource,Building Products,"Irving, Texas",21346019328,214.7,105.24,159.97,175.72
BG,Bunge Global,Agricultural Products & Services,"Chesterfield, Missouri",13793974272,114.92,86.1,100.50999999999999,96.43
BXP,"BXP, Inc.",Office REITs,"Boston, Massachusetts",14176224256,80.58,50.64,65.61,78.61
CHRW,C.H. Robinson,Air Freight & Logistics,"Eden Prairie, Minnesota",11736509440,105.41,65.0,85.205,99.46
CDNS,Cadence Design Systems,Application Software,"San Jose, California",73580912640,328.99,227.05,278.02,269.9
CZR,Caesars Entertainment,Casinos & Gaming,"Reno, Nevada",8409057792,52.635,31.74,42.1875,36.53
CPT,Camden Property Trust,Multi-Family Residential REITs,"Houston, Texas",13393355776,127.23,82.81,105.02000000000001,123.1
CPB,Campbell Soup Company,Packaged Foods & Meats,"Camden, New Jersey",15253123072,52.81,37.94,45.375,49.78
COF,Capital One,Consumer Finance,"Tysons Corner, Virginia",53066530816,153.35,88.23,120.78999999999999,137.54
