Symbol,Stock Price,Predicted Short Position for Next Month,Difference,Company Name,Sector,Market Capital,Financial Results,Next Financial Statement
CSCO,47.86,48.02,-0.16,"Cisco Systems, Inc.",Technology,198738345984.0,USD,N/A
UAL,52.84,42.34,10.5,"United Airlines Holdings, Inc.",Industrials,16514042880.0,USD,N/A
TROW,114.02,109.88,4.14,"T. Rowe Price Group, Inc.",Financial Services,23274846208.0,USD,N/A
ISRG,375.33,369.19,6.14,"Intuitive Surgical, Inc.",Healthcare,174073692160.0,USD,N/A
NVR,7647.04,7684.81,-37.77,"NVR, Inc.",Consumer Cyclical,28835725312.0,USD,N/A
TPR,40.05,40.26,-0.21,"Tapestry, Inc.",Consumer Cyclical,9844249600.0,USD,N/A
DVN,52.71,51.3,1.41,Devon Energy Corporation,Energy,24703590400.0,USD,N/A
CE,154.49,155.6,-1.11,Celanese Corporation,Basic Materials,13454769152.0,USD,N/A
MRO,27.77,27.63,0.14,Marathon Oil Corporation,Energy,14616676352.0,USD,N/A
BA,167.22,166.87,0.35,The Boeing Company,Industrials,96605282304.0,USD,N/A
VRTX,397.48,395.84,1.64,Vertex Pharmaceuticals Incorporated,Healthcare,125274963968.0,USD,N/A
GILD,65.42,66.01,-0.59,"Gilead Sciences, Inc.",Healthcare,103097614336.0,USD,N/A
EQIX,731.61,737.89,-6.28,"Equinix, Inc.",Real Estate,82748366848.0,USD,N/A
TER,114.13,97.92,16.21,"Teradyne, Inc.",Technology,21413584896.0,USD,N/A
PODD,166.19,164.92,1.27,Insulet Corporation,Healthcare,16397913088.0,USD,N/A
MDT,79.74,79.86,-0.12,Medtronic plc,Healthcare,115433996288.0,USD,N/A
V,274.52,270.54,3.98,Visa Inc.,Financial Services,559148630016.0,USD,N/A
QRVO,116.75,106.01,10.74,"Qorvo, Inc.",Technology,10211818496.0,USD,N/A
A,137.74,133.94,3.8,"Agilent Technologies, Inc.",Healthcare,39453007872.0,USD,N/A
FOX,28.81,27.83,0.98,Fox Corporation,Communication Services,17574144000.0,USD,N/A
MO,43.38,41.03,2.35,"Altria Group, Inc.",Consumer Defensive,90361413632.0,USD,N/A
CTRA,28.29,27.32,0.97,Coterra Energy Inc.,Energy,16840662016.0,USD,N/A
SWKS,104.3,97.19,7.11,"Skyworks Solutions, Inc.",Technology,16366098432.0,USD,N/A
ENPH,111.93,108.0,3.93,"Enphase Energy, Inc.",Technology,14884232192.0,USD,N/A
MCHP,93.6,82.93,10.67,Microchip Technology Incorporated,Technology,41643520000.0,USD,N/A
CDNS,282.41,280.44,1.97,"Cadence Design Systems, Inc.",Technology,73580912640.0,USD,N/A
MSCI,477.78,456.72,21.06,MSCI Inc.,Financial Services,44167868416.0,USD,N/A
CHTR,254.61,257.87,-3.26,"Charter Communications, Inc.",Communication Services,48556204032.0,USD,N/A
EIX,70.14,67.19,2.95,Edison International,Utilities,32987238400.0,USD,N/A
KDP,33.72,30.58,3.14,Keurig Dr Pepper Inc.,Consumer Defensive,51002544128.0,USD,N/A
BBY,75.05,75.28,-0.23,"Best Buy Co., Inc.",Consumer Cyclical,21139675136.0,USD,N/A
GEN,20.63,20.6,0.03,Gen Digital Inc.,Technology,16305256448.0,USD,N/A
WBA,17.7,17.78,-0.08,"Walgreens Boots Alliance, Inc.",Healthcare,7950763008.0,USD,N/A
LVS,45.45,46.35,-0.9,Las Vegas Sands Corp.,Consumer Cyclical,29472008192.0,USD,N/A
HCA,306.69,300.53,6.16,"HCA Healthcare, Inc.",Healthcare,101856641024.0,USD,N/A
AJG,234.11,232.19,1.92,Arthur J. Gallagher & Co.,Financial Services,65158152192.0,USD,N/A
DTE,109.52,104.03,5.49,DTE Energy Company,Utilities,26074169344.0,USD,N/A
C,62.66,57.66,5.0,Citigroup Inc.,Financial Services,110022828032.0,USD,N/A
T,16.75,16.24,0.51,AT&T Inc.,Communication Services,155163983872.0,USD,N/A
CF,80.0,78.59,1.41,"CF Industries Holdings, Inc.",Basic Materials,14279610368.0,USD,N/A
MGM,41.09,41.76,-0.67,MGM Resorts International,Consumer Cyclical,11090641920.0,USD,N/A
HUM,305.9,307.1,-1.2,Humana Inc.,Healthcare,38716465152.0,USD,N/A
CBOE,178.4,177.48,0.92,"Cboe Global Markets, Inc.",Financial Services,21930240000.0,USD,N/A
CFG,35.15,32.73,2.42,"Citizens Financial Group, Inc.",Financial Services,17972346880.0,USD,N/A
APH,60.24,55.54,4.71,Amphenol Corporation,Technology,76568764416.0,USD,N/A
SYY,77.07,75.78,1.29,Sysco Corporation,Consumer Defensive,37611184128.0,USD,N/A
MSI,346.48,340.08,6.4,"Motorola Solutions, Inc.",Technology,73703677952.0,USD,N/A
